City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,La Palma,US,86.67,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
14,The Valley,AI,78.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
15,Maragogi,BR,77.32,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
16,Qui Nhon,VN,76.17,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
22,Puerto Ayora,EC,78.06,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Kaeo,NZ,79.32,few clouds,-35.1,173.7833,Bushido Lodge
36,Sarh,TD,83.52,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
40,Isangel,VU,84.31,light rain,-19.55,169.2667,Tanna Lodge
41,Rikitea,PF,79.18,overcast clouds,-23.1203,-134.9692,People ThankYou
43,Katherine,AU,86.32,clear sky,-14.4667,132.2667,Pine Tree Motel
47,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
52,Faanui,PF,82.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Saint-Philippe,RE,75.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
64,Arlit,NE,86.2,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
65,Kumo,NG,84.99,scattered clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
67,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
69,Meulaboh,ID,77.77,overcast clouds,4.1363,96.1285,Kost Pria
72,Arraial Do Cabo,BR,76.53,clear sky,-22.9661,-42.0278,Pousada Porto Praia
75,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Vaini,TO,77.16,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
83,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
91,Hithadhoo,MV,82.26,few clouds,-0.6,73.0833,Scoop Guest House
92,Bengkulu,ID,77.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
93,Bowen,AU,83.34,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
99,Acarau,BR,77.49,light rain,-2.8856,-40.12,castelo pizzaria
102,Sao Joao Da Barra,BR,75.83,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
104,Atuona,PF,79.48,clear sky,-9.8,-139.0333,Villa Enata
108,San Patricio,US,82.35,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
109,Jaffna,LK,79.52,broken clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
116,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
120,Lompoc,US,83.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
121,Arima,TT,78.44,few clouds,10.6333,-61.2833,Refine Home Style Ltd.
123,Enid,US,77.16,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
125,Waingapu,ID,82.96,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
126,Nicoya,CR,82.09,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
131,Palu,ID,85.42,broken clouds,-0.8917,119.8707,Hotel Santika Palu
132,Soyo,AO,76.93,overcast clouds,-6.1349,12.3689,Hotel Mpampa
134,Gautier,US,75.29,overcast clouds,30.3858,-88.6117,Magnolia Inn of Gautier
137,Tamandare,BR,77.5,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
