City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Mwinilunga,-11.7358,24.4293,60.67,96,83,1.01,ZM,2022-04-06 00:40:27,broken clouds
1,Jamestown,42.097,-79.2353,55.04,48,0,6.91,US,2022-04-06 00:36:01,clear sky
2,Sangar,63.9242,127.4739,1.65,93,100,4.92,RU,2022-04-06 00:40:28,overcast clouds
3,Kaitangata,-46.2817,169.8464,54.19,64,60,20.18,NZ,2022-04-06 00:40:28,broken clouds
4,Tiksi,71.6872,128.8694,-10.43,100,100,3.4,RU,2022-04-06 00:40:28,overcast clouds
5,Coquimbo,-29.9533,-71.3436,61.72,77,6,2.42,CL,2022-04-06 00:37:15,clear sky
6,La Palma,33.8464,-118.0467,86.67,65,0,10.36,US,2022-04-06 00:40:29,clear sky
7,Saskylakh,71.9167,114.0833,-13.0,97,62,4.38,RU,2022-04-06 00:40:29,broken clouds
8,Sakaiminato,35.55,133.2333,60.78,59,20,14.97,JP,2022-04-06 00:40:29,few clouds
9,Tuktoyaktuk,69.4541,-133.0374,-5.8,71,20,9.22,CA,2022-04-06 00:40:30,few clouds
10,Ostrovnoy,68.0531,39.5131,21.6,90,100,14.67,RU,2022-04-06 00:40:30,overcast clouds
11,Waycross,31.2136,-82.354,66.25,94,100,0.0,US,2022-04-06 00:40:30,moderate rain
12,Havoysund,70.9963,24.6622,32.23,75,100,31.38,NO,2022-04-06 00:40:30,overcast clouds
13,Busselton,-33.65,115.3333,62.98,61,98,8.99,AU,2022-04-06 00:40:31,overcast clouds
14,The Valley,18.217,-63.0578,78.82,76,17,17.78,AI,2022-04-06 00:40:31,few clouds
15,Maragogi,-9.0122,-35.2225,77.32,84,66,4.54,BR,2022-04-06 00:40:03,broken clouds
16,Qui Nhon,13.7667,109.2333,76.17,80,100,19.26,VN,2022-04-06 00:40:31,overcast clouds
17,Shar,49.5886,81.0453,38.91,77,17,10.11,KZ,2022-04-06 00:40:32,few clouds
18,Malatya,38.5,38.0,48.25,46,100,5.75,TR,2022-04-06 00:40:32,overcast clouds
19,Bluff,-46.6,168.3333,52.88,69,86,33.51,NZ,2022-04-06 00:40:32,overcast clouds
20,Te Anau,-45.4167,167.7167,52.18,64,93,7.23,NZ,2022-04-06 00:40:33,overcast clouds
21,Mataura,-46.1927,168.8643,50.31,78,99,12.73,NZ,2022-04-06 00:40:33,overcast clouds
22,Puerto Ayora,-0.7393,-90.3518,78.06,86,25,7.09,EC,2022-04-06 00:40:33,scattered clouds
23,Ushuaia,-54.8,-68.3,37.06,87,40,25.32,AR,2022-04-06 00:40:33,scattered clouds
24,Christchurch,-43.5333,172.6333,62.01,84,20,11.5,NZ,2022-04-06 00:40:31,light rain
25,Yellowknife,62.456,-114.3525,30.42,70,75,9.22,CA,2022-04-06 00:40:34,broken clouds
26,East London,-33.0153,27.9116,65.8,70,51,10.54,ZA,2022-04-06 00:36:15,broken clouds
27,New Norfolk,-42.7826,147.0587,58.71,36,0,2.75,AU,2022-04-06 00:40:34,clear sky
28,Kaeo,-35.1,173.7833,79.32,74,21,10.78,NZ,2022-04-06 00:40:34,few clouds
29,Punta Arenas,-53.15,-70.9167,39.31,70,20,4.61,CL,2022-04-06 00:40:35,few clouds
30,Castro,-24.7911,-50.0119,63.52,97,72,5.03,BR,2022-04-06 00:40:35,broken clouds
31,Provideniya,64.3833,-173.3,15.91,57,0,8.95,RU,2022-04-06 00:40:36,clear sky
32,Poum,-20.2333,164.0167,80.53,89,100,39.1,NC,2022-04-06 00:40:36,moderate rain
33,Kodiak,57.79,-152.4072,38.71,70,100,12.66,US,2022-04-06 00:40:37,overcast clouds
34,Riviere-Au-Renard,48.9957,-64.3971,32.29,84,9,15.95,CA,2022-04-06 00:40:37,clear sky
35,Cape Town,-33.9258,18.4232,58.12,89,75,9.22,ZA,2022-04-06 00:38:21,broken clouds
36,Sarh,9.1429,18.3923,83.52,45,98,7.36,TD,2022-04-06 00:40:37,overcast clouds
37,Dikson,73.5069,80.5464,-0.53,80,17,19.17,RU,2022-04-06 00:40:38,few clouds
38,Beatrice,40.2681,-96.747,50.18,76,100,6.91,US,2022-04-06 00:40:38,light rain
39,Avera,33.194,-82.5271,65.71,89,100,14.76,US,2022-04-06 00:40:38,overcast clouds
